icd,cc,version,year
C8284,10,10,2016
C8285,10,10,2016
C8286,10,10,2016
C8287,10,10,2016
C8288,10,10,2016
C8289,10,10,2016
C8290,10,10,2016
C8291,10,10,2016
C8292,10,10,2016
C8293,10,10,2016
C8294,10,10,2016
C8295,10,10,2016
C8296,10,10,2016
C8297,10,10,2016
C8298,10,10,2016
C8299,10,10,2016
C8300,10,10,2016
C8301,10,10,2016
C8302,10,10,2016
C8303,10,10,2016
C8304,10,10,2016
C8305,10,10,2016
C8306,10,10,2016
C8307,10,10,2016
C8308,10,10,2016
C8309,10,10,2016
C8310,10,10,2016
C8311,10,10,2016
C8312,10,10,2016
C8313,10,10,2016
C8314,10,10,2016
C8315,10,10,2016
C8316,10,10,2016
C8317,10,10,2016
C8318,10,10,2016
C8319,10,10,2016
C8330,10,10,2016
C8331,10,10,2016
C8332,10,10,2016
C8333,10,10,2016
C8334,10,10,2016
C8335,10,10,2016
C8336,10,10,2016
C8337,10,10,2016
C8338,10,10,2016
C8339,10,10,2016
C8350,10,10,2016
C8351,10,10,2016
C8352,10,10,2016
C8353,10,10,2016
C8354,10,10,2016
C8355,10,10,2016
C8356,10,10,2016
C8357,10,10,2016
C8358,10,10,2016
C8359,10,10,2016
C8370,10,10,2016
C8371,10,10,2016
C8372,10,10,2016
C8373,10,10,2016
C8374,10,10,2016
C8375,10,10,2016
C8376,10,10,2016
C8377,10,10,2016
C8378,10,10,2016
C8379,10,10,2016
C8380,10,10,2016
C8381,10,10,2016
C8382,10,10,2016
C8383,10,10,2016
C8384,10,10,2016
C8385,10,10,2016
C8386,10,10,2016
C8387,10,10,2016
C8388,10,10,2016
C8389,10,10,2016
C8390,10,10,2016
C8391,10,10,2016
C8392,10,10,2016
C8393,10,10,2016
C8394,10,10,2016
C8395,10,10,2016
C8396,10,10,2016
C8397,10,10,2016
C8398,10,10,2016
C8399,10,10,2016
C8400,10,10,2016
C8401,10,10,2016
C8402,10,10,2016
C8403,10,10,2016
C8404,10,10,2016
C8405,10,10,2016
C8406,10,10,2016
C8407,10,10,2016
C8408,10,10,2016
C8409,10,10,2016
C8410,10,10,2016
C8411,10,10,2016
C8412,10,10,2016
C8413,10,10,2016
C8414,10,10,2016
C8415,10,10,2016
C8416,10,10,2016
C8417,10,10,2016
C8418,10,10,2016
C8419,10,10,2016
C8440,10,10,2016
C8441,10,10,2016
C8442,10,10,2016
C8443,10,10,2016
C8444,10,10,2016
C8445,10,10,2016
C8446,10,10,2016
C8447,10,10,2016
C8448,10,10,2016
C8449,10,10,2016
C8460,10,10,2016
C8461,10,10,2016
C8462,10,10,2016
C8463,10,10,2016
C8464,10,10,2016
C8465,10,10,2016
C8466,10,10,2016
C8467,10,10,2016
C8468,10,10,2016
C8469,10,10,2016
C8470,10,10,2016
C8471,10,10,2016
C8472,10,10,2016
C8473,10,10,2016
C8474,10,10,2016
C8475,10,10,2016
C8476,10,10,2016
C8477,10,10,2016
C8478,10,10,2016
C8479,10,10,2016
C8490,10,10,2016
C8491,10,10,2016
C8492,10,10,2016
C8493,10,10,2016
C8494,10,10,2016
C8495,10,10,2016
C8496,10,10,2016
C8497,10,10,2016
C8498,10,10,2016
C8499,10,10,2016
C84A0,10,10,2016
C84A1,10,10,2016
C84A2,10,10,2016
C84A3,10,10,2016
C84A4,10,10,2016
C84A5,10,10,2016
C84A6,10,10,2016
C84A7,10,10,2016
C84A8,10,10,2016
C84A9,10,10,2016
C84Z0,10,10,2016
C84Z1,10,10,2016
C84Z2,10,10,2016
C84Z3,10,10,2016
C84Z4,10,10,2016
C84Z5,10,10,2016
C84Z6,10,10,2016
C84Z7,10,10,2016
C84Z8,10,10,2016
C84Z9,10,10,2016
C8510,10,10,2016
C8511,10,10,2016
C8512,10,10,2016
C8513,10,10,2016
C8514,10,10,2016
C8515,10,10,2016
C8516,10,10,2016
C8517,10,10,2016
C8518,10,10,2016
C8519,10,10,2016
C8520,10,10,2016
C8521,10,10,2016
C8522,10,10,2016
C8523,10,10,2016
C8524,10,10,2016
C8525,10,10,2016
C8526,10,10,2016
C8527,10,10,2016
C8528,10,10,2016
C8529,10,10,2016
C8580,10,10,2016
C8581,10,10,2016
C8582,10,10,2016
C8583,10,10,2016
C8584,10,10,2016
C8585,10,10,2016
C8586,10,10,2016
C8587,10,10,2016
C8588,10,10,2016
C8589,10,10,2016
C8590,10,10,2016
C8591,10,10,2016
C8592,10,10,2016
C8593,10,10,2016
C8594,10,10,2016
C8595,10,10,2016
C8596,10,10,2016
C8597,10,10,2016
C8598,10,10,2016
C8599,10,10,2016
C860,10,10,2016
C861,10,10,2016
C862,10,10,2016
C863,10,10,2016
C864,10,10,2016
C865,10,10,2016
C866,10,10,2016
C880,23,10,2016
C882,10,10,2016
C883,10,10,2016
C884,10,10,2016
C888,10,10,2016
C889,10,10,2016
C9000,9,10,2016
C9001,9,10,2016
C9002,9,10,2016
C9010,9,10,2016
C9011,9,10,2016
C9012,9,10,2016
C9020,9,10,2016
C9021,9,10,2016
C9022,9,10,2016
C9030,10,10,2016
C9031,10,10,2016
C9032,10,10,2016
C9100,8,10,2016
C9101,8,10,2016
C9102,8,10,2016
C9110,10,10,2016
C9111,10,10,2016
C9112,10,10,2016
C9130,10,10,2016
C9131,10,10,2016
C9132,10,10,2016
C9140,10,10,2016
C9141,10,10,2016
C9142,10,10,2016
C9150,10,10,2016
C9151,10,10,2016
C9152,10,10,2016
C9160,10,10,2016
C9161,10,10,2016
C9162,10,10,2016
C9190,10,10,2016
C9191,10,10,2016
C9192,10,10,2016
C91A0,10,10,2016
C91A1,10,10,2016
C91A2,10,10,2016
C91Z0,10,10,2016
C91Z1,10,10,2016
C91Z2,10,10,2016
C9200,8,10,2016
C9201,8,10,2016
C9202,8,10,2016
C9210,9,10,2016
C9211,9,10,2016
C9212,9,10,2016
C9220,9,10,2016
C9221,9,10,2016
C9222,9,10,2016
C9230,9,10,2016
C9231,9,10,2016
C9232,9,10,2016
C9240,8,10,2016
C9241,8,10,2016
C9242,8,10,2016
C9250,8,10,2016
C9251,8,10,2016
C9252,8,10,2016
C9260,8,10,2016
C9261,8,10,2016
C9262,8,10,2016
C9290,9,10,2016
C9291,9,10,2016
C9292,9,10,2016
C92A0,8,10,2016
C92A1,8,10,2016
C92A2,8,10,2016
C92Z0,9,10,2016
C92Z1,9,10,2016
C92Z2,9,10,2016
C9300,8,10,2016
C9301,8,10,2016
C9302,8,10,2016
C9310,9,10,2016
C9311,9,10,2016
C9312,9,10,2016
C9330,9,10,2016
C9331,9,10,2016
C9332,9,10,2016
C9390,9,10,2016
C9391,9,10,2016
C9392,9,10,2016
C93Z0,9,10,2016
C93Z1,9,10,2016
C93Z2,9,10,2016
C9400,8,10,2016
C9401,8,10,2016
C9402,8,10,2016
C9420,8,10,2016
C9421,8,10,2016
C9422,8,10,2016
C9430,9,10,2016
C9431,9,10,2016
C9432,9,10,2016
C9440,8,10,2016
C9441,8,10,2016
C9442,8,10,2016
C946,48,10,2016
C9480,9,10,2016
C9481,9,10,2016
C9482,9,10,2016
C9500,8,10,2016
C9501,8,10,2016
C9502,8,10,2016
C9510,10,10,2016
C9511,10,10,2016
C9512,10,10,2016
C9590,10,10,2016
C9591,10,10,2016
C9592,10,10,2016
C960,10,10,2016
C962,10,10,2016
C964,10,10,2016
C965,10,10,2016
C966,10,10,2016
C969,10,10,2016
C96A,10,10,2016
C96Z,10,10,2016
D030,12,10,2016
D0310,12,10,2016
D0311,12,10,2016
D0312,12,10,2016
D0320,12,10,2016
D0321,12,10,2016
D0322,12,10,2016
D0330,12,10,2016
D0339,12,10,2016
D034,12,10,2016
D0351,12,10,2016
D0352,12,10,2016
D0359,12,10,2016
D0360,12,10,2016
D0361,12,10,2016
D0362,12,10,2016
D0370,12,10,2016
D0371,12,10,2016
D0372,12,10,2016
D038,12,10,2016
D039,12,10,2016
D1802,12,10,2016
D320,12,10,2016
D321,12,10,2016
D329,12,10,2016
D330,12,10,2016
D331,12,10,2016
D332,12,10,2016
D333,12,10,2016
D334,12,10,2016
D337,12,10,2016
D339,12,10,2016
D352,12,10,2016
D353,12,10,2016
D354,12,10,2016
D420,12,10,2016
D421,12,10,2016
D429,12,10,2016
D430,12,10,2016
D431,12,10,2016
D432,12,10,2016
D433,12,10,2016
D434,12,10,2016
D438,12,10,2016
D439,12,10,2016
D443,12,10,2016
D444,12,10,2016
D445,12,10,2016
D446,12,10,2016
D447,12,10,2016
D45,48,10,2016
D460,46,10,2016
D461,46,10,2016
D4620,46,10,2016
D4621,46,10,2016
D4622,46,10,2016
D464,46,10,2016
D469,46,10,2016
D46A,46,10,2016
D46B,46,10,2016
D46C,46,10,2016
D46Z,46,10,2016
D471,48,10,2016
D473,48,10,2016
D474,46,10,2016
D479,48,10,2016
D47Z1,48,10,2016
D47Z9,48,10,2016
D496,12,10,2016
D550,48,10,2016
D551,48,10,2016
D552,48,10,2016
D553,48,10,2016
D558,48,10,2016
D559,48,10,2016
D560,48,10,2016
D561,48,10,2016
D562,48,10,2016
D564,48,10,2016
D565,48,10,2016
D568,48,10,2016
D5700,46,10,2016
D5701,46,10,2016
D5702,46,10,2016
D571,46,10,2016
D5720,46,10,2016
D57211,46,10,2016
D57212,46,10,2016
D57219,46,10,2016
D573,48,10,2016
D5740,46,10,2016
D57411,46,10,2016
D57412,46,10,2016
D57419,46,10,2016
D5780,46,10,2016
D57811,46,10,2016
D57812,46,10,2016
D57819,46,10,2016
D580,48,10,2016
D581,48,10,2016
D582,48,10,2016
D588,48,10,2016
D589,48,10,2016
D590,46,10,2016
D591,46,10,2016
D592,46,10,2016
D593,46,10,2016
D594,46,10,2016
D595,46,10,2016
D596,46,10,2016
D598,46,10,2016
D599,46,10,2016
D600,46,10,2016
D601,46,10,2016
D608,46,10,2016
D609,46,10,2016
